Poem_Summary,Line_Original,Line_Summary,Word_Original,Hierarchical_Entity_Tag,Notes
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",ஏஎர் வயங்கு பூண் அமரரை வௌவிய அமிழ்தின்,"Beautiful shining ornament celestials stealing nectar",பூண்,ORNAMENT_ADORNMENT,"Ornament, adornment"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",ஏஎர் வயங்கு பூண் அமரரை வௌவிய அமிழ்தின்,"Beautiful shining ornament celestials stealing nectar",அமரரை,CELESTIALS_ACCUSATIVE,"Celestials; accusative case"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",ஏஎர் வயங்கு பூண் அமரரை வௌவிய அமிழ்தின்,"Beautiful shining ornament celestials stealing nectar",வௌவிய,STEALING_SNATCHING,"Stealing, snatching; past participle"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",ஏஎர் வயங்கு பூண் அமரரை வௌவிய அமிழ்தின்,"Beautiful shining ornament celestials stealing nectar",அமிழ்தின்,NECTAR_GENITIVE,"Of nectar; genitive case"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",பயந்தோள் இடுக்கண் களைந்த புள்ளினை,"Shoulder born distress removing bird",பயந்தோள்,BORNSHOULDER_COMPOUND,"Born shoulder; compound (reference to Garuda)"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",பயந்தோள் இடுக்கண் களைந்த புள்ளினை,"Shoulder born distress removing bird",இடுக்கண்,DISTRESS_TROUBLE,"Distress, trouble"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",பயந்தோள் இடுக்கண் களைந்த புள்ளினை,"Shoulder born distress removing bird",களைந்த,REMOVING_DISPERSING,"Removing, dispersing; past participle"
"Poem 2: Hymn to Lord Vishnu describing his divine manifestations and cosmic supremacy",பயந்தோள் இடுக்கண் களைந்த புள்ளினை,"Shoulder born distress removing bird",புள்ளினை,BIRD_ACCUSATIVE,"Bird; accusative case (Garuda)"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மா அயோயே மாஅயோயே,"O great being, O great being",மா,GREAT_LARGE,"Great, large"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மா அயோயே மாஅயோயே,"O great being, O great being",அயோயே,BEING_EXISTENCE,"Being, existence; vocative"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மா அயோயே மாஅயோயே,"O great being, O great being",மாஅயோயę,GREATBEING_VOCATIVE,"O great being; repeated vocative"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மறுபிறப்பு அறுக்கும் மாசு இல் சேவடி,"Feet that cut off rebirth, without stain",மறுபிறப்பு,REBIRTH_REINCARNATION,"Rebirth, reincarnation"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மறுபிறப்பு அறுக்கும் மாசு இல் சேவடி,"Feet that cut off rebirth, without stain",அறுக்கும்,CUTTING_SEVERING,"Cutting, severing; present tense"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மறுபிறப்பு அறுக்கும் மாசு இல் சேவடி,"Feet that cut off rebirth, without stain",மாசு,STAIN_IMPURITY,"Stain, impurity"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மறுபிறப்பு அறுக்கும் மாசு இல் சேவடி,"Feet that cut off rebirth, without stain",இல்,WITHOUT_DEVOID,"Without, devoid of"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மறுபிறப்பு அறுக்கும் மாசு இல் சேவடி,"Feet that cut off rebirth, without stain",சேவடி,FEET_FOOTPRINTS,"Feet, footprints"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மணி திகழ் உருபின் மா அயோயே,"Jewel shining form O great being",மணி,JEWEL_GEM,"Jewel, gem"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மணி திகழ் உருபின் மா அயோயே,"Jewel shining form O great being",திகழ்,SHINING_GLITTERING,"Shining, glittering"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மணி திகழ் உருபின் மா அயோயே,"Jewel shining form O great being",உருபின்,FORM_GENITIVE,"Of form; genitive case"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மணி திகழ் உருபின் மா அயோயே,"Jewel shining form O great being",மா,GREAT_LARGE,"Great"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மணி திகழ் உருபின் மா அயோயே,"Jewel shining form O great being",அயோயே,BEING_VOCATIVE,"O being; vocative"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தீ வளி விசும்பு நிலன் நீர் ஐந்தும்,"Fire wind sky earth water five",தீ,FIRE_FLAME,"Fire"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தீ வளி விசும்பு நிலன் நீர் ஐந்தும்,"Fire wind sky earth water five",வளி,WIND_AIR,"Wind"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தீ வளி விசும்பு நிலன் நீர் ஐந்தும்,"Fire wind sky earth water five",விசும்பு,SKY_HEAVEN,"Sky, heaven"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தீ வளி விசும்பு நிலன் நீர் ஐந்தும்,"Fire wind sky earth water five",நிலன்,EARTH_LAND,"Earth, land"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தீ வளி விசும்பு நிலன் நீர் ஐந்தும்,"Fire wind sky earth water five",நீர்,WATER,"Water"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தீ வளி விசும்பு நிலன் நீர் ஐந்தும்,"Fire wind sky earth water five",ஐந்தும்,FIVE_CONJ,"Five; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",ஞாயிறும் திங்களும் அறனும் ஐவரும்,"Sun and moon and virtue and five persons",ஞாயிறும்,SUN_CONJ,"Sun; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",ஞாயிறும் திங்களும் அறனும் ஐவரும்,"Sun and moon and virtue and five persons",திங்களும்,MOON_CONJ,"Moon; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",ஞாயிறும் திங்களும் அறனும் ஐவரும்,"Sun and moon and virtue and five persons",அறனும்,VIRTUE_CONJ,"Virtue; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",ஞாயிறும் திங்களும் அறனும் ஐவரும்,"Sun and moon and virtue and five persons",ஐவரும்,FIVEPERSONS_CONJ,"Five persons; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",திதியின் சிறாரும் விதியின் மக்களும்,"Tithi's children and fate's people",திதியின்,TITHI_GENITIVE,"Of Tithi (lunar day); genitive"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",திதியின் சிறாரும் விதியின் மக்களும்,"Tithi's children and fate's people",சிறாரும்,CHILDREN_CONJ,"Children; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",திதியின் சிறாரும் விதியின் மக்களும்,"Tithi's children and fate's people",விதியின்,FATE_GENITIVE,"Of fate; genitive"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",திதியின் சிறாரும் விதியின் மக்களும்,"Tithi's children and fate's people",மக்களும்,PEOPLE_CONJ,"People; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாசு இல் எண்மரும் பதினொரு கபிலரும்,"Stainless eight persons and eleven Kapilas",மாசு,STAIN_IMPURITY,"Stain, impurity"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாசு இல் எண்மரும் பதினொரு கபிலரும்,"Stainless eight persons and eleven Kapilas",இல்,WITHOUT_DEVOID,"Without"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாசு இல் எண்மரும் பதினொரு கபிலரும்,"Stainless eight persons and eleven Kapilas",எண்மரும்,EIGHTPERSONS_CONJ,"Eight persons; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாசு இல் எண்மரும் பதினொரு கபிலரும்,"Stainless eight persons and eleven Kapilas",பதினொரு,ELEVEN,"Eleven"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாசு இல் எண்மரும் பதினொரு கபிலரும்,"Stainless eight persons and eleven Kapilas",கபிலரும்,KAPILAS_CONJ,"Kapilas (sages); with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தா மா இருவரும் தருமனும் மடங்கலும்,"Two great ones and Dharma and others",தா,GIVING,"Giving; possibly abbreviation"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தா மா இருவரும் தருமனும் மடங்கலும்,"Two great ones and Dharma and others",மா,GREAT_LARGE,"Great"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தா மா இருவரும் தருமனும் மடங்கலும்,"Two great ones and Dharma and others",இருவரும்,TWOPERSONS_CONJ,"Two persons; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தா மா இருவரும் தருமனும் மடங்கலும்,"Two great ones and Dharma and others",தருமனும்,DHARMA_CONJ,"Dharma; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",தா மா இருவரும் தருமனும் மடங்கலும்,"Two great ones and Dharma and others",மடங்கலும்,OTHERS_ETC,"Others, etc.; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மூஏழ் உலகமும் உலகினுள் மன்பதும்,"Three-seven worlds and humanity within world",மூஏழ்,THREESEVEN,"Three-seven (21); compound number"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மூஏழ் உலகமும் உலகினுள் மன்பதும்,"Three-seven worlds and humanity within world",உலகமும்,WORLDS_CONJ,"Worlds; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மூஏழ் உலகமும் உலகினுள் மன்பதும்,"Three-seven worlds and humanity within world",உலகினுள்,WORLD_INSIDE,"Inside world; locative"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மூஏழ் உலகமும் உலகினுள் மன்பதும்,"Three-seven worlds and humanity within world",மன்பதும்,HUMANITY_CONJ,"Humanity; with conjunction"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாயோய் நின்வயின் பரந்தவை உரைத்தேம்,"O illusory one, in your presence we spoke of those that spread",மாயோய்,DIVINE_ADDRESS_MAYA,"O illusory one; addressing Vishnu"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாயோய் நின்வயின் பரந்தவை உرைத்தேம்,"O illusory one, in your presence we spoke of those that spread",நின்வயின்,YOUR_PRESENCE,"In your presence"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாயோய் நின்வயின் பரந்தவை உரைத்தேம்,"O illusory one, in your presence we spoke of those that spread",பரந்தவை,SPREAD_THINGS,"Those that spread"
"Poem 3: Philosophical hymn exploring Vishnu's omnipresence, multiple forms, and cosmic unity",மாயோய் நின்வயின் பரந்தவை உரைத்தேம்,"O illusory one, in your presence we spoke of those that spread",உரைத்தேம்,WE_SPOKE,"We spoke"
